NEGERI,PERLIS,KEDAH,PULAU PINANG,PERAK,SELANGOR,WPKL/PUTRAJAYA,N.SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SARAWAK,SABAH,LABUAN,MALAYSIA,YEAR
Week 1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2010
Week 8,2,4,34,36,583,116,50,7,50,31,28,18,114,48,0,1121,2010
Week 9,4,14,23,65,496,154,31,4,45,38,23,28,100,49,0,1074,2010
Week 10,0,9,24,46,467,169,32,10,59,33,18,27,106,39,0,1039,2010
Week 11,1,12,18,31,447,140,25,11,53,21,15,23,72,29,0,898,2010
Week 12,1,15,14,27,381,107,20,6,51,28,12,35,87,13,0,797,2010
Week 13,1,12,18,40,425,94,23,11,66,19,13,21,55,25,0,823,2010
Week 14,5,24,14,49,460,106,24,12,55,24,15,21,51,26,0,886,2010
Week 15,1,21,21,29,459,109,25,11,79,17,18,38,66,19,1,914,2010
Week 16,4,18,18,38,441,138,37,18,50,13,17,29,42,22,0,885,2010
Week 17,2,18,17,40,329,119,51,16,62,20,12,31,55,18,0,790,2010
Week 18,4,23,17,38,301,92,42,10,88,15,11,35,47,37,0,760,2010
Week 19,4,21,18,33,337,91,51,15,53,17,15,32,44,35,0,766,2010
Week 20,6,19,27,37,370,71,56,18,61,14,22,32,48,53,0,834,2010
Week 21,3,33,21,38,287,81,40,17,90,34,15,45,46,39,0,789,2010
Week 22,2,25,21,54,311,83,50,14,96,27,11,33,44,43,0,814,2010
Week 23,5,17,23,78,286,66,70,13,91,57,7,32,54,91,1,891,2010
Week 24,3,14,31,66,325,76,65,13,113,44,16,40,57,77,2,942,2010
Week 25,2,18,23,78,332,74,35,31,79,53,13,64,60,76,0,938,2010
Week 26,5,22,40,63,381,73,36,25,144,40,12,67,70,71,2,1051,2010
Week 27,0,19,34,56,346,84,29,20,129,35,17,81,156,55,0,1061,2010
Week 28,7,20,38,38,307,89,36,26,131,34,25,89,146,57,0,1043,2010
Week 29,7,16,48,93,289,82,28,18,105,47,20,131,137,50,0,1071,2010
Week 30,9,21,39,65,323,89,15,16,101,39,19,176,127,62,0,1101,2010
Week 31,5,14,50,67,241,73,19,71,81,39,26,146,98,56,1,987,2010
